#,Make,Model,Year,Mileage,Condition,Price
68,Honda,Camry,2014,56311,Good,25184.350000000002
69,Ford,Camry,2012,102278,Good,24886.0
70,Ford,Altima,2015,35930,Good,25203.5
71,Toyota,Civic,2016,96869,Fair,21156.45
72,Chevrolet,F-150,2010,87051,Good,27647.350000000002
73,Ford,Camry,2020,46163,Excellent,19691.75
74,Honda,F-150,2017,119991,Good,19000.55
75,Ford,Altima,2017,135196,Good,18240.3
76,Nissan,Altima,2018,23116,Excellent,22844.3
77,Chevrolet,Altima,2018,66236,Excellent,20688.2
78,Toyota,F-150,2010,144751,Excellent,24762.45
79,Toyota,F-150,2017,101000,Excellent,19949.9
80,Honda,Civic,2016,27511,Excellent,24624.45
81,Chevrolet,Civic,2020,14488,Excellent,21275.6
82,Nissan,Silverado,2021,105493,Excellent,15725.449999999999
83,Nissan,Camry,2013,58378,Good,26081.199999999997
84,Toyota,Altima,2013,119427,Excellent,23028.65
85,Honda,Silverado,2016,119802,Excellent,20010.0
86,Toyota,Altima,2012,141113,Good,22944.449999999997
87,Toyota,Silverado,2011,146622,Excellent,23669.0
88,Honda,Altima,2018,79364,Excellent,20031.899999999998
89,Chevrolet,Silverado,2015,141793,Excellent,19910.449999999997
90,Nissan,Civic,2011,14744,Excellent,30262.899999999998
91,Chevrolet,Silverado,2021,70347,Good,17482.550000000003
92,Chevrolet,Civic,2011,68245,Good,27587.65
93,Chevrolet,F-150,2017,83613,Excellent,20819.449999999997
94,Nissan,Altima,2018,133106,Good,17344.8
95,Toyota,F-150,2013,119617,Fair,23019.050000000003
96,Ford,F-150,2015,57207,Excellent,24139.65
97,Nissan,Altima,2010,52477,Excellent,29376.15
98,Nissan,F-150,2020,37978,Excellent,20101.1
99,Nissan,Civic,2015,53814,Excellent,24309.399999999998
100,Honda,Camry,2010,17346,Fair,31132.8
101,Ford,Civic,2022,44885,Excellent,17755.85
102,Nissan,F-150,2017,50778,Excellent,22461.1
103,Nissan,Silverado,2011,70039,Good,27498.149999999998
104,Nissan,F-150,2012,89140,Good,25543.1
105,Toyota,Altima,2018,43774,Excellent,21811.399999999998
106,Chevrolet,Civic,2011,22840,Excellent,29857.9
107,Ford,Altima,2011,76361,Good,27182.05
108,Nissan,Camry,2010,82212,Good,27889.4
109,Chevrolet,Civic,2022,113433,Excellent,14328.449999999999
110,Toyota,Camry,2019,69114,Fair,19544.399999999998
111,Honda,Camry,2011,144023,Fair,23798.949999999997
112,Honda,Camry,2017,28625,Excellent,23568.85
113,Honda,Altima,2020,108484,Excellent,16575.899999999998
114,Ford,Civic,2014,119922,Excellent,22004.0
115,Chevrolet,Altima,2010,18123,Excellent,31093.949999999997
116,Honda,F-150,2014,46654,Good,25667.3
117,Chevrolet,F-150,2011,98362,Good,26082.0
118,Ford,Camry,2022,74707,Good,16264.65
119,Chevrolet,F-150,2020,75798,Excellent,18210.1
120,Chevrolet,Civic,2020,73758,Excellent,18312.0
121,Toyota,Silverado,2012,22391,Excellent,28880.45
122,Toyota,Camry,2021,85415,Good,16729.15
123,Chevrolet,Altima,2021,114819,Good,15258.949999999999
124,Toyota,Altima,2012,121983,Excellent,23900.949999999997
125,Ford,Silverado,2011,86608,Excellent,26669.6
126,Ford,Civic,2017,26893,Excellent,23655.449999999997
127,Nissan,Silverado,2022,57948,Excellent,17102.699999999997
128,Toyota,Camry,2019,116033,Excellent,17198.449999999997
129,Ford,Altima,2022,57614,Good,17119.399999999998
130,Nissan,F-150,2011,94477,Excellent,26276.15
131,Honda,Silverado,2016,79418,Excellent,22029.199999999997
132,Toyota,F-150,2017,117603,Good,19119.949999999997
133,Nissan,Silverado,2012,56035,Fair,27198.35
134,Nissan,Civic,2020,31617,Excellent,20419.25
135,Honda,Camry,2010,111314,Good,26434.399999999998
136,Nissan,Camry,2015,93694,Good,22315.399999999998
137,Chevrolet,Altima,2020,97649,Excellent,17117.649999999998
138,Chevrolet,Altima,2010,143341,Good,24832.850000000002
139,Honda,F-150,2020,49271,Good,19536.45
140,Toyota,F-150,2019,78634,Excellent,19068.3
141,Nissan,Silverado,2011,77599,Good,27120.149999999998
142,Toyota,Altima,2022,110727,Fair,14463.65
143,Ford,Camry,2016,113300,Excellent,20335.0
144,Toyota,Civic,2018,66884,Excellent,20655.899999999998
145,Nissan,Altima,2012,23004,Good,28849.8
146,Nissan,Altima,2013,39951,Excellent,27002.55
147,Ford,Silverado,2018,130659,Excellent,17467.05
148,Ford,Silverado,2015,127075,Excellent,20646.15
149,Ford,F-150,2020,20087,Excellent,20995.75
150,Toyota,Civic,2017,67872,Excellent,21606.4
151,Nissan,Altima,2020,11995,Excellent,21400.35
152,Ford,F-150,2022,144488,Excellent,12775.699999999999
153,Ford,Silverado,2012,80614,Fair,25969.399999999998
154,Ford,Civic,2021,11008,Excellent,20449.699999999997
155,Chevrolet,Altima,2013,126240,Excellent,22688.1
156,Nissan,Camry,2010,44176,Excellent,29791.3
157,Ford,Silverado,2011,61439,Excellent,27928.149999999998
158,Chevrolet,Camry,2022,33301,Excellent,18335.05
159,Nissan,Civic,2015,22701,Good,25864.95
160,Nissan,Camry,2019,88786,Excellent,18560.8
161,Honda,Silverado,2013,131297,Excellent,22435.15
162,Chevrolet,F-150,2010,127915,Excellent,25604.35
163,Toyota,Camry,2010,89811,Fair,27509.55
164,Chevrolet,F-150,2016,26015,Good,24699.35
165,Toyota,Silverado,2019,60439,Excellent,19978.05
166,Ford,Civic,2018,62889,Good,20855.55
167,Chevrolet,Civic,2014,15780,Excellent,27211.1
168,Honda,Silverado,2021,119069,Excellent,15046.65
169,Chevrolet,Silverado,2016,49785,Excellent,23510.85
170,Nissan,Camry,2011,29605,Fair,29519.85
171,Nissan,Silverado,2011,118725,Excellent,25063.85
172,Chevrolet,F-150,2013,29419,Excellent,27529.149999999998
173,Nissan,Silverado,2018,137243,Fair,17137.949999999997
174,Ford,Civic,2015,94655,Good,22267.25
175,Ford,F-150,2021,77019,Excellent,17148.95
176,Chevrolet,F-150,2010,63956,Good,28802.3
177,Honda,Civic,2019,49430,Excellent,20528.5
178,Nissan,Civic,2019,88161,Excellent,18591.95
179,Honda,Silverado,2021,96829,Excellent,16158.65
180,Honda,F-150,2022,59978,Fair,17001.199999999997
181,Ford,Silverado,2016,13887,Good,25305.65
182,Honda,Civic,2010,29471,Excellent,30526.55
183,Honda,F-150,2019,72274,Excellent,19386.399999999998
184,Ford,Civic,2020,107666,Fair,16616.8
185,Toyota,Civic,2015,127814,Excellent,20609.399999999998
186,Toyota,F-150,2020,44070,Excellent,19796.6
187,Toyota,F-150,2010,111984,Excellent,26400.899999999998
188,Nissan,Civic,2016,64951,Excellent,22752.55
189,Chevrolet,Altima,2015,10380,Excellent,26481.1
190,Toyota,Civic,2016,14614,Excellent,25269.399999999998
191,Chevrolet,Civic,2018,48931,Excellent,21553.55
192,Toyota,F-150,2012,129019,Excellent,23549.05
193,Toyota,Silverado,2013,127266,Good,22636.8
194,Nissan,F-150,2016,48764,Good,23561.899999999998
195,Toyota,Altima,2016,137717,Good,19114.25
196,Toyota,F-150,2015,116517,Good,21174.25
197,Honda,Altima,2020,35657,Fair,20217.25
198,Nissan,F-150,2016,99491,Excellent,21025.55
199,Ford,F-150,2019,126402,Excellent,16680.0
200,Nissan,Altima,2011,149343,Excellent,23532.75
201,Honda,Altima,2014,101720,Excellent,22914.0
202,Toyota,Camry,2015,24020,Excellent,25799.1
203,Chevrolet,Civic,2020,116223,Excellent,16188.949999999999
204,Ford,Silverado,2019,131090,Excellent,16445.5
205,Chevrolet,Altima,2022,14891,Fair,19255.55
206,Ford,F-150,2016,44978,Excellent,23751.199999999997
207,Nissan,Civic,2019,27588,Good,21620.699999999997
208,Honda,Silverado,2014,18854,Good,27057.3
209,Nissan,Camry,2019,63399,Excellent,19830.149999999998
210,Chevrolet,F-150,2011,128100,Excellent,24595.1
211,Honda,F-150,2014,145225,Excellent,20738.75
212,Toyota,Camry,2011,144456,Excellent,23777.100000000002
213,Ford,Civic,2011,10079,Excellent,30496.149999999998
214,Nissan,Camry,2015,98839,Excellent,22058.149999999998
215,Ford,F-150,2011,128863,Fair,24556.949999999997
216,Toyota,Camry,2021,144496,Excellent,13775.2
217,Toyota,Camry,2014,148505,Good,20574.75
218,Ford,F-150,2019,122685,Excellent,16865.75
219,Chevrolet,Camry,2019,106227,Good,17688.65
220,Chevrolet,Civic,2011,30366,Fair,29481.7
221,Chevrolet,Altima,2022,139004,Fair,13049.8
222,Ford,Altima,2017,109535,Excellent,19523.25
223,Toyota,Altima,2021,136052,Fair,14197.5
224,Ford,Camry,2017,71493,Excellent,21425.449999999997
225,Ford,F-150,2013,64742,Excellent,25763.0
226,Nissan,Camry,2013,29720,Excellent,27514.0
227,Nissan,Camry,2019,38797,Excellent,21060.25
228,Toyota,Altima,2015,76373,Excellent,23181.35
229,Honda,Altima,2017,22255,Excellent,23887.35
230,Toyota,F-150,2016,15027,Good,25248.75
231,Toyota,Civic,2019,44445,Good,20777.85
232,Honda,Silverado,2020,105729,Excellent,16713.649999999998
233,Ford,Altima,2011,10786,Excellent,30460.8
234,Chevrolet,Altima,2021,128974,Excellent,14551.3
235,Toyota,Civic,2022,139651,Excellent,13017.550000000001
236,Chevrolet,Silverado,2011,79307,Good,27034.65
237,Nissan,Camry,2014,74491,Excellent,24275.55
238,Honda,Altima,2012,105128,Good,24743.699999999997
239,Nissan,F-150,2013,49149,Good,26542.649999999998
240,Ford,Camry,2015,97393,Excellent,22130.449999999997
241,Chevrolet,Altima,2021,51669,Excellent,18416.649999999998
242,Toyota,Altima,2012,145731,Excellent,22713.45
243,Nissan,Camry,2012,31349,Excellent,28432.649999999998
244,Honda,Silverado,2020,59912,Good,19004.5
245,Ford,F-150,2013,42090,Good,26895.6
246,Nissan,F-150,2015,57147,Excellent,24142.75
247,Nissan,Altima,2017,56782,Good,22160.9
248,Nissan,Silverado,2014,14405,Excellent,27279.85
249,Ford,Civic,2011,144382,Excellent,23781.0
250,Ford,Civic,2019,98392,Good,18080.4
251,Ford,Civic,2021,78264,Fair,17086.8
252,Chevrolet,Civic,2019,63972,Excellent,19801.5
253,Nissan,Silverado,2020,94694,Excellent,17265.399999999998
254,Honda,Camry,2010,104044,Excellent,26797.8
255,Nissan,Altima,2019,12555,Good,22372.15
256,Ford,Altima,2021,123549,Excellent,14822.65
257,Nissan,Civic,2021,57139,Good,18143.149999999998
258,Toyota,Silverado,2015,17004,Good,26149.899999999998
259,Chevrolet,Altima,2014,73885,Excellent,24305.85
260,Toyota,Silverado,2012,93543,Excellent,25322.949999999997
261,Toyota,Silverado,2018,96735,Excellent,19163.35
262,Toyota,Altima,2017,105618,Good,19719.199999999997
263,Chevrolet,Camry,2011,65729,Good,27713.55
264,Ford,Camry,2016,99676,Excellent,21016.3
265,Chevrolet,Camry,2018,147651,Excellent,16617.45
266,Honda,F-150,2013,135326,Good,22233.8
267,Nissan,F-150,2010,50011,Good,29499.45
268,Ford,Altima,2015,31804,Excellent,25409.899999999998
269,Nissan,F-150,2015,103452,Excellent,21827.5
270,Nissan,Silverado,2018,81973,Fair,19901.35
271,Ford,Civic,2020,68319,Excellent,18584.149999999998
272,Ford,Civic,2010,51796,Fair,29410.3
273,Toyota,Silverado,2011,73851,Good,27307.55
274,Toyota,Silverado,2022,56697,Good,17165.25
275,Nissan,Silverado,2016,11305,Good,25434.75
276,Honda,Civic,2011,117131,Good,25143.45
277,Honda,Silverado,2015,48441,Good,24577.95
278,Honda,Silverado,2013,26857,Good,27657.15
279,Toyota,Silverado,2015,133560,Excellent,20322.1
280,Honda,Civic,2015,143862,Excellent,19806.9
281,Nissan,Silverado,2011,137159,Fair,24142.149999999998
282,Nissan,Camry,2015,69944,Good,23502.7
283,Nissan,Altima,2013,78616,Good,25069.3
284,Honda,Camry,2011,98208,Fair,26089.5
285,Honda,Altima,2014,67624,Excellent,24618.7
286,Nissan,Civic,2021,106793,Excellent,15660.449999999999
287,Nissan,Silverado,2014,39631,Excellent,26018.55
288,Chevrolet,Silverado,2016,116407,Good,20179.75
289,Nissan,F-150,2010,48764,Good,29561.899999999998
290,Ford,Camry,2014,128951,Good,21552.55
291,Toyota,Civic,2021,12202,Excellent,20390.0
292,Honda,Silverado,2021,29624,Excellent,19518.899999999998
293,Ford,Altima,2011,122440,Fair,24878.1
294,Chevrolet,Camry,2012,47357,Excellent,27632.15
295,Honda,Camry,2015,97155,Fair,22142.35
296,Chevrolet,Camry,2019,47483,Excellent,20625.949999999997
297,Honda,Civic,2016,118154,Good,20092.3
298,Toyota,Altima,2021,129563,Excellent,14521.849999999999
299,Honda,F-150,2013,107377,Good,23631.15
300,Ford,Silverado,2017,93016,Good,20349.2
301,Nissan,Civic,2021,117283,Excellent,15135.949999999999
302,Honda,Altima,2019,17700,Excellent,22115.1
303,Ford,Civic,2012,72515,Excellent,26374.35
304,Nissan,Civic,2019,117574,Excellent,17121.3
305,Chevrolet,F-150,2021,48316,Excellent,18584.3
306,Chevrolet,Altima,2014,76270,Fair,24186.6
307,Honda,F-150,2022,77705,Good,16114.85
308,Honda,Silverado,2015,81927,Excellent,22903.75
309,Toyota,Silverado,2018,148147,Good,16592.75
310,Toyota,F-150,2014,57872,Good,25106.4
311,Honda,Silverado,2014,89643,Excellent,23517.949999999997
312,Nissan,Civic,2021,41393,Fair,18930.449999999997
313,Honda,F-150,2012,131779,Fair,23411.149999999998
314,Nissan,Altima,2018,45636,Excellent,21718.2
315,Chevrolet,Camry,2016,51005,Excellent,23449.85
316,Nissan,Civic,2017,80534,Excellent,20973.3
317,Nissan,Silverado,2022,83667,Good,15816.65
318,Honda,Camry,2019,24396,Good,21780.3
319,Nissan,Camry,2011,12670,Excellent,30366.5
320,Toyota,Altima,2017,133563,Good,18321.949999999997
321,Toyota,Altima,2019,35960,Excellent,21202.0
322,Toyota,Camry,2018,127007,Fair,17649.75
323,Chevrolet,Altima,2011,112332,Excellent,25383.5
324,Nissan,F-150,2018,23963,Excellent,22801.949999999997
325,Chevrolet,F-150,2018,102496,Excellent,18875.2
326,Nissan,Civic,2011,98379,Good,26081.05
327,Ford,F-150,2010,32664,Fair,30366.8
328,Nissan,Silverado,2013,79668,Excellent,25016.699999999997
329,Ford,Altima,2022,77020,Good,16149.1
330,Chevrolet,F-150,2022,26242,Excellent,18687.9
331,Nissan,Civic,2019,93552,Excellent,18322.4
332,Chevrolet,Camry,2019,97616,Fair,18119.3
333,Toyota,Camry,2016,127326,Excellent,19633.7
334,Chevrolet,Silverado,2011,29379,Excellent,29531.149999999998
335,Toyota,Camry,2019,132258,Excellent,16387.199999999997
336,Ford,Altima,2012,26858,Excellent,28657.199999999997
337,Toyota,Silverado,2019,132549,Excellent,16372.65
338,Honda,Camry,2017,137062,Fair,18147.0
339,Nissan,Altima,2014,102123,Fair,22893.949999999997
340,Nissan,Camry,2022,87290,Good,15635.6
341,Honda,Civic,2015,146704,Excellent,19664.899999999998
342,Toyota,Altima,2017,137604,Good,18119.899999999998
343,Nissan,Altima,2016,61257,Excellent,22937.25
344,Toyota,Civic,2011,68325,Excellent,27583.75
345,Toyota,Civic,2020,94847,Good,17257.75
346,Honda,Civic,2014,131078,Fair,21446.199999999997
347,Toyota,F-150,2019,52450,Fair,20377.6
348,Chevrolet,Camry,2016,13492,Excellent,25325.5
349,Ford,Silverado,2020,16317,Good,21184.25
350,Honda,F-150,2019,79262,Excellent,19037.0
351,Honda,Civic,2011,51775,Excellent,28411.35
352,Chevrolet,Altima,2017,21717,Excellent,23914.25
353,Toyota,Camry,2021,105673,Excellent,15716.449999999999
354,Ford,Civic,2019,13424,Excellent,22328.8
355,Nissan,Silverado,2011,32459,Fair,29377.05
356,Chevrolet,Altima,2019,105923,Excellent,17703.949999999997
357,Ford,Altima,2016,91947,Excellent,21402.65
358,Ford,Altima,2013,58045,Excellent,26097.85
359,Honda,Camry,2016,125517,Excellent,19724.15
360,Toyota,Civic,2019,126523,Excellent,16673.949999999997
361,Toyota,Silverado,2014,118261,Excellent,22087.05
362,Honda,Silverado,2014,72376,Excellent,24381.100000000002
363,Honda,Silverado,2013,142970,Excellent,21851.6
364,Honda,Camry,2012,140853,Excellent,22957.449999999997
365,Nissan,Camry,2015,75691,Excellent,23215.55
366,Honda,Silverado,2016,100367,Good,20981.75
367,Toyota,Altima,2020,37051,Excellent,20147.45
368,Ford,Silverado,2018,141756,Excellent,16912.3
369,Toyota,Civic,2018,59531,Excellent,21023.55
370,Chevrolet,F-150,2019,46696,Excellent,20665.100000000002
371,Chevrolet,Civic,2016,66677,Good,22666.25
372,Nissan,F-150,2016,39911,Good,24004.55
373,Toyota,Silverado,2021,42395,Excellent,18880.35
374,Honda,Silverado,2013,28141,Excellent,27592.95
375,Honda,Altima,2020,103522,Excellent,16823.9
376,Ford,Camry,2017,120980,Fair,18951.1
377,Ford,F-150,2020,123309,Excellent,15834.55
378,Chevrolet,F-150,2020,132448,Fair,15377.599999999999
379,Chevrolet,Camry,2018,52704,Good,21364.8
380,Toyota,Camry,2014,149570,Excellent,20521.6
381,Ford,Altima,2019,84918,Excellent,18754.1
382,Chevrolet,Altima,2014,138012,Excellent,21099.300000000003
383,Ford,Camry,2018,118435,Excellent,18078.35
384,Toyota,Altima,2020,121125,Excellent,15943.75
385,Ford,Civic,2014,44962,Excellent,25752.0
386,Toyota,Silverado,2012,57881,Good,27105.95
387,Honda,Silverado,2016,130595,Good,19470.15
388,Honda,Silverado,2019,86855,Fair,18657.35
389,Ford,F-150,2018,42669,Excellent,21866.55
390,Ford,Camry,2019,127210,Excellent,16639.5
391,Ford,Silverado,2022,111694,Good,14415.4
392,Chevrolet,Camry,2010,50056,Excellent,29497.3
393,Ford,Silverado,2011,102294,Fair,25885.399999999998
394,Ford,Civic,2017,23363,Excellent,23831.85
395,Toyota,Altima,2011,30166,Excellent,29491.8
396,Chevrolet,Camry,2021,106594,Excellent,15670.4
397,Ford,Silverado,2016,48490,Good,23575.4
398,Ford,Silverado,2010,93271,Excellent,27336.55
399,Ford,Silverado,2017,40831,Good,22958.55
400,Nissan,Silverado,2018,86192,Excellent,19690.5
401,Chevrolet,Silverado,2014,44619,Excellent,25769.05
402,Ford,Civic,2022,25928,Excellent,18703.699999999997
403,Nissan,Camry,2013,43433,Good,26828.35
404,Nissan,Altima,2011,60548,Good,27972.699999999997
405,Honda,Altima,2014,90224,Good,23488.7
406,Toyota,Altima,2010,51134,Good,29443.399999999998
407,Honda,Silverado,2017,63390,Excellent,21830.5
408,Toyota,F-150,2021,18104,Excellent,20094.7
409,Nissan,Civic,2016,89158,Fair,21542.1
410,Chevrolet,Silverado,2021,30611,Excellent,19469.45
411,Chevrolet,Camry,2014,121589,Excellent,21920.649999999998
412,Chevrolet,Camry,2019,34918,Good,21254.199999999997
413,Toyota,F-150,2020,99917,Fair,17004.15
414,Honda,Altima,2014,58887,Excellent,25055.550000000003
415,Nissan,Altima,2021,101862,Excellent,15907.0
416,Honda,Camry,2014,51798,Excellent,25410.199999999997
417,Ford,Civic,2010,14502,Good,31275.0
418,Honda,Altima,2016,101123,Excellent,20943.949999999997
419,Honda,Camry,2013,17912,Excellent,28104.300000000003
420,Ford,Civic,2019,36297,Good,21185.15
421,Honda,Silverado,2020,11052,Excellent,21447.5
422,Honda,Altima,2012,40442,Good,27978.0
423,Honda,Camry,2011,19491,Good,30025.55
424,Toyota,Camry,2019,31246,Excellent,21437.8
425,Chevrolet,Camry,2010,97733,Good,27113.35
426,Honda,Altima,2011,28108,Good,29594.5
427,Toyota,Civic,2010,59668,Excellent,29016.699999999997
428,Honda,Altima,2011,58163,Good,28091.85
429,Honda,Altima,2022,60927,Excellent,16953.65
430,Chevrolet,Silverado,2014,22980,Fair,26851.1
431,Honda,Camry,2014,19437,Good,27028.15
432,Chevrolet,Civic,2013,46895,Good,26655.35
433,Chevrolet,Silverado,2015,27971,Excellent,25601.45
434,Honda,Silverado,2022,23865,Fair,18806.85
435,Chevrolet,F-150,2021,102564,Excellent,15871.9
436,Chevrolet,Camry,2011,134783,Fair,24260.949999999997
437,Chevrolet,F-150,2020,133725,Good,15313.85
438,Toyota,Silverado,2015,136557,Good,20172.15
439,Nissan,Altima,2019,93735,Good,18313.35
440,Toyota,Camry,2010,124705,Excellent,25764.85
441,Nissan,Silverado,2011,121548,Excellent,24922.5
442,Toyota,Camry,2019,144647,Excellent,15767.75
443,Toyota,Camry,2012,71281,Good,26436.05
444,Nissan,Silverado,2020,103321,Good,16834.05
445,Ford,Camry,2014,110462,Good,22477.0
446,Ford,Altima,2012,99189,Fair,25040.649999999998
447,Ford,Silverado,2022,19645,Excellent,19017.65
448,Ford,F-150,2012,71988,Excellent,26400.5
449,Chevrolet,F-150,2011,27303,Good,29634.949999999997
450,Chevrolet,Camry,2010,99101,Excellent,27044.95
451,Chevrolet,Camry,2016,71865,Excellent,22406.65
452,Chevrolet,Altima,2013,120835,Good,22958.35
453,Ford,Camry,2011,123679,Fair,24816.149999999998
454,Ford,Silverado,2013,114176,Excellent,23291.2
455,Ford,Camry,2021,14029,Fair,20298.45
456,Ford,F-150,2019,42231,Excellent,20888.55
457,Nissan,Camry,2018,27069,Good,22646.649999999998
458,Chevrolet,Altima,2012,149613,Good,22519.449999999997
459,Honda,Silverado,2017,70771,Excellent,21461.55
460,Honda,Altima,2018,89682,Excellent,19515.9
461,Chevrolet,F-150,2016,70317,Excellent,22484.25
462,Chevrolet,Silverado,2020,37236,Excellent,20138.2
463,Honda,Silverado,2019,63167,Excellent,19841.65
464,Nissan,Civic,2016,127662,Excellent,19617.0
465,Toyota,Civic,2010,105765,Excellent,26711.85
466,Honda,F-150,2016,46605,Excellent,23669.85
467,Honda,Altima,2010,109918,Excellent,26504.199999999997
468,Honda,F-150,2015,44741,Excellent,24763.05
469,Chevrolet,Altima,2020,64646,Fair,18767.8
470,Chevrolet,Silverado,2019,130681,Excellent,16465.95
471,Chevrolet,Civic,2021,121983,Good,14900.749999999998
472,Toyota,Altima,2016,12869,Excellent,25356.649999999998
473,Nissan,Civic,2010,74570,Excellent,28271.5
474,Honda,Camry,2016,125259,Fair,19737.05
475,Ford,F-150,2019,22474,Excellent,21876.399999999998
476,Ford,Camry,2018,17053,Fair,23147.449999999997
477,Nissan,Civic,2021,122651,Good,14867.550000000001
478,Honda,Silverado,2021,130042,Good,14498.0
479,Honda,F-150,2013,33515,Excellent,27324.25
480,Ford,Altima,2012,101831,Excellent,24908.55
481,Ford,Civic,2021,30893,Excellent,19455.35
482,Chevrolet,F-150,2014,33760,Good,26312.1
483,Honda,Silverado,2018,53638,Good,21318.199999999997
484,Ford,Altima,2010,134717,Excellent,25264.15
485,Toyota,Civic,2017,70870,Fair,21456.6
486,Ford,F-150,2022,147742,Excellent,12613.0
487,Chevrolet,Altima,2018,40594,Good,21970.399999999998
488,Toyota,Silverado,2014,24128,Fair,26793.6
489,Toyota,Altima,2020,65285,Good,18735.85
490,Chevrolet,Camry,2017,22334,Excellent,23883.399999999998
491,Nissan,Altima,2011,90734,Good,26463.399999999998
492,Ford,Silverado,2012,129184,Excellent,23540.899999999998
493,Honda,Altima,2019,71338,Excellent,19433.199999999997
494,Toyota,Silverado,2015,120720,Fair,20964.1
495,Toyota,Civic,2012,132012,Good,23399.4
496,Nissan,Silverado,2014,55001,Excellent,25249.95
497,Honda,Silverado,2012,140142,Excellent,22993.0
498,Nissan,Camry,2022,62974,Fair,16851.2
499,Toyota,Camry,2017,87569,Excellent,20621.649999999998
500,Toyota,Civic,2021,98158,Excellent,16092.199999999999
